mile,time
87,6.61875
118,6.7034722222222225
120,0.05486111111111111
90,0.20625000000000002
124.2,0.7256944444444445
118,3.88125
114,4.465277777777778
122,4.626388888888889
122,4.649305555555555
95,4.898611111111111
107.8,5.340277777777778
117,0.17708333333333334
90,0.7576388888888889
115.9,2.9694444444444446
116,5.336805555555555
87,5.499305555555556
102,5.722916666666666
96,5.913888888888889
126,6.601388888888889
98.9,0.4166666666666667
123,2.317361111111111
98,4.085416666666666
120,4.647222222222222
99,4.71875
94,4.85625
88,5.447916666666667
104.5,5.45
136,5.617361111111111
124,6.079861111111111
111,6.35
102.5,0.5201388888888888
118,2.3722222222222222
107,4.277777777777778
112.3,4.309722222222222
118,4.358333333333333
91,4.3805555555555555
91,4.472916666666666
99.5,0.6034722222222222
91,1.336111111111111
114.1,1.3395833333333333
114,1.3416666666666666
100.5,1.720138888888889
110,1.751388888888889
107,1.7951388888888888
107,1.8298611111111112
120,3.529861111111111
113,2.136111111111111
121,3.5006944444444446
91.5,3.588888888888889
136,3.6055555555555556
120,4.29375
121,4.370138888888889
102,5.8180555555555555
98.9,0.8875000000000001
128,1.332638888888889
111,1.5625
91,1.6222222222222222
117.3,1.7152777777777777
117.3,1.720138888888889
127,1.8097222222222222
111,2.1729166666666666
134.5,2.334027777777778
114,2.4006944444444445
108,2.536111111111111
91,2.9159722222222224
111,3.7243055555555555
105,4.0368055555555555
103,4.470138888888889
105.5,5.309027777777778
118,6.070138888888889
114,6.440277777777778
129,0.30069444444444443
116,0.5333333333333333
129,1.3402777777777777
96,2.5506944444444444
91,3.3055555555555554
99,3.404861111111111
100,3.7381944444444444
93,1.7104166666666667
120,1.9319444444444445
129,3.7284722222222224
121,5.6090277777777775
87,5.88125
118,6.309722222222222
92,6.518055555555556
93,6.523611111111111
113,0.4486111111111111
94,0.7076388888888889
94.5,0.7555555555555555
87,0.7868055555555555
126,1.3506944444444444
125.9,1.3590277777777777
120.5,1.779861111111111
110.7,2.68125
134,3.7263888888888888
120.5,3.738888888888889
136,3.7402777777777776
115,5.403472222222222
107,6.71875
124,1.2631944444444445
124.7,1.3277777777777777
113,1.3555555555555556
113.1,1.3833333333333333
113.2,1.4270833333333333
108,1.4479166666666667
95,1.6729166666666666
110,2.286111111111111
100.9,2.704861111111111
98.1,4.316666666666666
115.8,5.2347222222222225
115.4,5.304861111111111
113.5,5.317361111111111
102,6.752083333333333
